,0
0.49,589.426654136124
0.491,589.427610208219
0.492,589.4289399255803
0.493,589.4307892328849
0.494,589.4333610049543
0.495,589.4369371836767
0.496,589.4419094569583
0.497,589.4488217144273
0.498,589.4584286819238
0.499,589.4717766709289
0.5,589.4903143417685
0.501,589.516043784243
0.502,589.5517249508764
0.503,589.6011491325869
0.504,589.6694987534472
0.505,589.7638091796064
0.506,589.8935394343804
0.507,590.0712355131292
0.508,590.3132209573967
0.509,590.640159008465
0.51,591.0771846782933
0.511,591.6531072161673
0.512,592.3979927565382
0.513,593.3384220773529
0.514,594.4901811169419
0.515,595.8493809604599
0.516,597.3848832363138
0.517,599.0363203933664
0.518,600.72110288095
0.519,602.3497916783394
0.52,603.8442725381988
0.521,605.1513373553792
0.522,606.2472352178141
0.523,607.1338329595291
0.524,607.8303134195291
0.525,608.3644821250191
0.526,608.7660546792455
0.527,609.0625206325074
0.528,609.2771529625867
0.529,609.4284236486508
0.53,609.5301671573877
0.531,609.5920335606673
0.532,609.6199557448988
0.533,609.6164806058725
0.534,609.5808859098286
0.535,609.5090390276155
0.536,609.3929676810017
0.537,609.2201209337629
0.538,608.9723160788068
0.539,608.6244134670158
0.54,608.1428649591135
0.541,607.4844803265552
0.542,606.5960861109494
0.543,605.4162090972246
0.544,603.8803671467701
0.545,601.9315937976138
0.546,599.536734069919
0.547,596.706117140203
0.548,593.509826605691
0.549,590.0807282450353
0.55,586.5970755000027
0.551,583.2473154347986
0.552,580.1907226158858
0.553,577.5302493058076
0.554,575.3059196725466
0.555,573.5056153220451
0.556,572.0838552153378
0.557,570.9799927397897
0.558,570.1314405939097
0.559,569.4812725260564
0.56,568.9814428037719
0.561,568.5932635446751
0.562,568.2864690668191
0.563,568.0377251774512
0.564,567.829050141435
0.565,567.6463553313359
0.566,567.4781646971011
0.567,567.3144956196633
0.568,567.1458487657411
0.569,566.9622416956114
0.57,566.752220256415
0.571,566.5017909019535
0.572,566.193240548754
0.573,565.8038604279458
0.574,565.3046872317832
0.575,564.6595464710599
0.576,563.8249532441296
0.577,562.7517804605333
0.578,561.3899198847328
0.579,559.6971045723153
0.58,557.6520705210407
0.581,555.2698306566567
0.582,552.6134758666498
0.583,549.7948936189849
0.584,546.9593889720668
0.585,544.2570681948018
0.586,541.8120662850819
0.587,539.7021902616682
0.588,537.9548866909424
0.589,536.5565937460761
0.59,535.4679772472346
0.591,534.6384061416497
0.592,534.0163526398015
0.593,533.5553008347226
0.594,533.2161905059796
0.595,532.9677094527772
0.596,532.785489857888
0.597,532.6508876964393
0.598,532.5497141674924
0.599,532.4710840631625
0.6,532.4064294849045
0.601,532.3486685029546
