,0
0.49,598.8539340747888
0.491,598.9260039929737
0.492,598.9980750954462
0.493,599.0701396720815
0.494,599.1421883741143
0.495,599.2142095625029
0.496,599.2861883964296
0.497,599.3581055584598
0.498,599.4299354717064
0.499,599.5016438067917
0.5,599.5731839959657
0.501,599.6444923593629
0.502,599.7154812914197
0.503,599.7860297362174
0.504,599.8559698745771
0.505,599.9250685188044
0.506,599.9930011159439
0.507,600.0593154318997
0.508,600.1233808368785
0.509,600.1843175148739
0.51,600.2408977102745
0.511,600.2914080824528
0.512,600.3334580765303
0.513,600.3637135742466
0.514,600.3775275364579
0.515,600.3684294427205
0.516,600.3274227376385
0.517,600.2420242779605
0.518,600.0949630380891
0.519,599.8624404279111
0.52,599.5118493790573
0.521,598.998870162831
0.522,598.2639385085323
0.523,597.2282690554248
0.524,595.7899953354029
0.525,593.8216552455282
0.526,591.1712697742272
0.527,587.6705034873054
0.528,583.154247946649
0.529,577.495024542844
0.53,570.6508274215462
0.531,562.7154105298674
0.532,553.9489557805373
0.533,544.764220569968
0.534,535.6584948623737
0.535,527.1112281930777
0.536,519.4893314284748
0.537,512.996958648135
0.538,507.6789451878232
0.539,503.4608338451355
0.54,500.20000111525087
0.541,497.72937915999427
0.542,495.8865614857566
0.543,494.52906609060653
0.544,493.53975688654975
0.545,492.8265525190645
0.546,492.31947211585356
0.547,491.966883143086
0.548,491.73193054282774
0.549,491.58957817901126
0.55,491.5243998992845
0.551,491.5291236143898
0.552,491.6038862503726
0.553,491.75615338155467
0.554,492.0012640597966
0.555,492.36355444117197
0.556,492.8779664393331
0.557,493.5919233702276
0.558,494.5670048451223
0.559,495.8795286906629
0.56,497.61854333570847
0.561,499.8790954518001
0.562,502.7484317233437
0.563,506.2839263987829
0.564,510.48503728947816
0.565,515.2674349301637
0.566,520.4526709872026
0.567,525.7855300541648
0.568,530.979783800671
0.569,535.7767249670396
0.57,539.9925149275291
0.571,543.5376523980437
0.572,546.4081222801685
0.573,548.6599386233686
0.574,550.3807277592159
0.575,551.6669996298128
0.576,552.6097703043276
0.577,553.287466688957
0.578,553.7637685722929
0.579,554.0881979238486
0.58,554.2979062176017
0.581,554.4197357368591
0.582,554.4720772643707
0.583,554.46631409037
0.584,554.4077804003855
0.585,554.296220909916
0.586,554.1257554668957
0.587,553.884353417187
0.588,553.5528288413097
0.589,553.103402145421
0.59,552.4979671656301
0.591,551.6863995466846
0.592,550.6055918177399
0.593,549.1804273669335
0.594,547.3285208512468
0.595,544.9708994212467
0.596,542.0501042613766
0.597,538.5544342233921
0.598,534.5419536771572
0.599,530.1526651105719
0.6,525.5971253697554
0.601,521.1190095517943
0.602,516.944055986202
