,0
0.49,589.7599643459363
0.491,589.8211307611845
0.492,589.8930042866326
0.493,589.977296395119
0.494,590.0759318608788
0.495,590.1910529757671
0.496,590.325014448251
0.497,590.4803653784526
0.498,590.65981425124
0.499,590.8661727514561
0.5,591.1022746057328
0.501,591.3708668495825
0.502,591.674473138576
0.503,592.0152320832436
0.504,592.3947179580848
0.505,592.8137560060275
0.506,593.2722489613698
0.507,593.7690339738989
0.508,594.3017883263012
0.509,594.8669970408488
0.51,595.4599854672892
0.511,596.0750064501317
0.512,596.7053573787963
0.513,597.3434909418108
0.514,597.9810782342785
0.515,598.6089862326754
0.516,599.2171437369252
0.517,599.7942887595157
0.518,600.3276125826733
0.519,600.8023373072489
0.52,601.2012809897611
0.521,601.5044746256143
0.522,601.6888967789931
0.523,601.7283846134467
0.524,601.5937662026353
0.525,601.2532417203425
0.526,600.6730248801316
0.527,599.8182449997756
0.528,598.654106477975
0.529,597.147304966697
0.53,595.2677027901842
0.531,592.9902618946879
0.532,590.2972119314853
0.533,587.1803878544301
0.534,583.6436057225735
0.535,579.7048661407562
0.536,575.3981004443249
0.537,570.7741311348738
0.538,565.9005320914324
0.539,560.8601640150438
0.54,555.7483256612666
0.541,550.6686754886927
0.542,545.728292523359
0.543,541.0324016073246
0.544,536.6793404145589
0.545,532.7562773350913
0.546,529.3360212843673
0.547,526.4750464526329
0.548,524.2126468206436
0.549,522.5709864066231
0.55,521.5557474346356
0.551,521.1570992571706
0.552,521.3507946367853
0.553,522.0993145087324
0.554,523.3530932237936
0.555,525.0519340354955
0.556,527.1267496157811
0.557,529.5017284222024
0.558,532.0969438467642
0.559,534.8313124606279
0.56,537.6257023011099
0.561,540.4059235109453
0.562,543.1053224824377
0.563,545.6667500086718
0.564,548.0437686790102
0.565,550.2010779417889
0.566,552.1142381598596
0.567,553.7688462372727
0.568,555.1593458951533
0.569,556.28764838375
0.57,557.1617055480378
0.571,557.7941311510674
0.572,558.2009215505861
0.573,558.4002927704834
0.574,558.411632337655
0.575,558.2545607657864
0.576,557.9481051927006
0.577,557.510000083116
0.578,556.9561404526571
0.579,556.30021667287
0.58,555.5535542875535
0.581,554.7251680927266
0.582,553.8220198705089
0.583,552.8494473682391
0.584,551.8117118772063
0.585,550.71259584324
0.586,549.555972489189
0.587,548.3462683983145
0.588,547.0887492330518
0.589,545.7895793903067
0.59,544.4556377538294
0.591,543.0941102535986
0.592,541.711919109849
0.593,540.3150801301252
0.594,538.9080957680849
0.595,537.4934889105997
0.596,536.0715616547375
0.597,534.640430290366
0.598,533.1963500934073
0.599,531.7343083644411
0.6,530.2488355709978
0.601,528.7349633613832
0.602,527.1892434029376
0.603,525.6107310772499
0.604,524.0018331759787
0.605,522.3689211762294
0.606,520.7226251027735
0.607,519.0777504464362
0.608,517.452802053926
0.609,515.8691494592048
0.61,514.349918235969
0.611,512.9187298619013
0.612,511.59842843088717
0.613,510.40992226196346
0.614,509.37123558552173
0.615,508.4968199869155
0.616,507.7971298413178
0.617,507.2784316517414
0.618,506.9428002407614
0.619,506.78825544291465
0.62,506.8090065600932
0.621,506.99579072688283
0.622,507.33630740119816
0.623,507.815758135175
0.624,508.41749563980255
0.625,509.1237700534129
0.626,509.91653807341015
0.627,510.77827922678085
0.628,511.69274998205265
0.629,512.6456052390789
0.63,513.6248288218603
0.631,514.6209370898262
0.632,515.6269474931515
0.633,516.6381313019187
0.634,517.6515926332379
0.635,518.6657321207017
0.636,519.6796626830446
0.637,520.6926472254153
0.638,521.7036240149989
0.639,522.710874712631
0.64,523.7118723421324
0.641,524.7033224459379
0.642,525.6813827295753
0.643,526.6420191111197
0.644,527.5814349107516
0.645,528.4964999464986
0.646,529.3851099726066
0.647,530.2464230022758
0.648,531.0809431908353
0.649,531.8904492067368
0.65,532.6777870391201
0.651,533.4465636642616
0.652,534.20078696672
0.653,534.9444995415208
0.654,535.6814508800048
0.655,536.4148451143597
0.656,537.1471905925225
0.657,537.8802635079703
0.658,538.615181492872
0.659,539.3525663206631
0.66,540.0927604021933
0.661,540.836052607617
0.662,541.5828673380258
0.663,542.3338772744246
0.664,543.0900134862458
0.665,543.8523637953748
0.666,544.6219682128536
0.667,545.3995361091595
0.668,546.1851217014246
0.669,546.9778014759493
0.67,547.7753988529948
0.671,548.5742974788867
0.672,549.3693749373197
0.673,550.1540739024438
0.674,550.9206093264536
0.675,551.66029090963
0.676,552.3639234763286
0.677,553.0222375860009
0.678,553.6263011497917
0.679,554.1678702905751
0.68,554.6396521520944
0.681,555.0354701204548
0.682,555.3503387431173
0.683,555.580467980442
0.684,555.7232222517707
0.685,555.7770586988668
0.686,555.7414623125231
0.687,555.616885208168
0.688,555.4046861266829
0.689,555.1070570894908
0.69,554.7269197138706
0.691,554.2677758540132
0.692,553.7335063871902
0.693,553.1281265769563
0.694,552.4555230298179
0.695,551.7192111210355
0.696,550.9221583745426
0.697,550.0667158010845
0.698,549.1546854351049
0.699,548.1875307091776
0.7,547.1667110622511
0.701,546.0940980272529
0.702,544.9724112866406
0.703,543.8056032202934
0.704,542.5991216303224
0.705,541.3599936409972
0.706,540.0966984603513
0.707,538.8188296017864
0.708,537.5365826857968
0.709,536.2601358770871
0.71,534.9990094468659
0.711,533.7614944724663
0.712,532.5542279437748
0.713,531.3819663299931
0.714,530.2475784420855
0.715,529.1522480491531
0.716,528.0958523043873
0.717,527.077465987844
0.718,526.0959337014482
0.719,525.150450778423
0.72,524.2410968887053
0.721,523.369272914884
0.722,522.5380013564293
0.723,521.7520635298891
0.724,521.0179631106354
0.725,520.3437239693238
0.726,519.7385482742482
0.727,519.2123750129949
0.728,518.7753861894124
0.729,518.4375062792171
0.73,518.2079308475708
0.731,518.0947057776159
0.732,518.104364060632
0.733,518.2416172442089
0.734,518.5090965532575
0.735,518.9071449544723
0.736,519.4336737542811
0.737,520.0841110421735
0.738,520.851478461768
0.739,521.7266317881704
0.74,522.6986862334991
0.741,523.755619841453
0.742,524.8850129282648
0.743,526.0748470809491
0.744,527.3142635032575
0.745,528.5941747968278
0.746,529.9076387245636
0.747,531.2499335581074
0.748,532.6183147635686
0.749,534.0114737102278
0.75,535.4287544601342
0.751,536.8692114066517
0.752,538.3306081355735
0.753,539.8084669260585
0.754,541.2952786545255
0.755,542.7799730268481
0.756,544.2477269444402
0.757,545.680153557396
0.758,547.0558686267049
0.759,548.3513809902574
0.76,549.5422103521645
0.761,550.6041088026512
0.762,551.514259376807
0.763,552.2523459596518
0.764,552.801427235897
0.765,553.1485916486384
0.766,553.285408155806
0.767,553.2082097823953
0.768,552.918249929924
0.769,552.4217573901822
0.77,551.7298918878189
0.771,550.8585770359913
0.772,549.8281711149484
0.773,548.6629350454022
0.774,547.3902740722614
0.775,546.0397624124695
0.776,544.6420007628437
0.777,543.2273942157437
0.778,541.8249619662914
0.779,540.4612930379363
0.78,539.1597430057429
0.781,537.9399305456218
0.782,536.8175489733046
0.783,535.8044669977742
0.784,534.9090626359064
0.785,534.1367184606936
0.786,533.4904047345808
0.787,532.9712861306547
0.788,532.5793029019203
0.789,532.3136938395304
0.79,532.1734425220916
0.791,532.1576380303478
0.792,532.2657458307029
0.793,532.497784575962
0.794,532.8544017435328
0.795,533.3368374388738
0.796,533.946763478604
0.797,534.6859858454142
0.798,535.5560040614373
0.799,536.5574316649332
0.8,537.6892978817795
0.801,538.9482710312046
0.802,540.327867269168
0.803,541.8177303977596
0.804,543.4030843522172
0.805,545.0644632037144
0.806,546.777808215663
0.807,548.5149848186612
0.808,550.2447169570604
0.809,551.9338713224378
0.81,553.548963908936
0.811,555.0577215627486
0.812,556.4305228559617
0.813,557.6415680661564
0.814,558.6696798132134
0.815,559.4986994475099
0.816,560.1175033046189
0.817,560.5197047847092
0.818,560.7031271448419
0.819,560.6691294613942
0.82,560.4218513060744
0.821,559.967419489211
0.822,559.3131414296578
0.823,558.4667003747952
0.824,557.4353701728285
0.825,556.2252800876987
0.826,554.8407785940144
0.827,553.2839628329345
0.828,551.5544511785675
0.829,549.6494755884872
0.83,547.5643560681133
0.831,545.2933920192073
0.832,542.8311662962362
0.833,540.1742098677056
0.834,537.322920915964
0.835,534.2835762096206
0.836,531.0702217387715
0.837,527.7061948857781
0.838,524.2250257095765
0.839,520.6705032803424
0.84,517.0957804444627
0.841,513.5615197947096
0.842,510.13323205835337
0.843,506.87809085171074
0.844,503.8615888172745
0.845,501.1444058007791
0.846,498.77978830116166
0.847,496.8116126418228
0.848,495.27315906639745
0.849,494.18649902296636
0.85,493.56232169639605
0.851,493.4000100023859
0.852,493.68781572307466
0.853,494.40306104496125
0.854,495.5123859174743
0.855,496.97214263673396
0.856,498.72908906923556
0.857,500.72153492238925
0.858,502.881046927905
0.859,505.13472750635276
0.86,507.40796929792066
0.861,509.62748504346513
0.862,511.7243481077505
0.863,513.6367719057773
0.864,515.3124072275463
0.865,516.7100276477007
0.866,517.8005765242622
0.867,518.5676357199421
0.868,519.0074262810318
0.869,519.1284589183874
0.87,518.9509246805798
0.871,518.5058701003528
0.872,517.8341556770517
0.873,516.9851683426923
0.874,516.0152568975325
0.875,514.9858842503554
0.876,513.9615325730556
0.877,513.0074421252756
0.878,512.187295709383
0.879,511.56096765776647
0.88,511.1824372303795
0.881,511.0979294758632
0.882,511.34430700026735
0.883,511.9477099782163
0.884,512.9224406652295
0.885,514.2701149748682
0.886,515.97914892288
0.887,518.0246942748795
0.888,520.3691633781457
0.889,522.9634681597875
0.89,525.7490331087724
0.891,528.6605334104067
0.892,531.6291811711131
0.893,534.5862700222813
0.894,537.466625871287
0.895,540.2116199199561
0.896,542.7714779359407
0.897,545.1067444256483
0.898,547.188897036467
0.899,549.0002213526518
0.9,550.5331269426914
0.901,551.7891057739281
0.902,552.7775117701729
0.903,553.514291657084
0.904,554.0207407698036
0.905,554.3223088696411
0.906,554.4474502839311
0.907,554.4265032245379
0.908,554.2905920283362
0.909,554.0705656238088
0.91,553.7960059178378
0.911,553.494352115929
0.912,553.1901860412006
0.913,552.9047092148701
0.914,552.655419340833
0.915,552.4559689832436
0.916,552.3161695933151
0.917,552.242094296668
0.918,552.2362344067772
0.919,552.2976758647408
0.92,552.4222790303062
0.921,552.602863856111
0.922,552.8294179638658
0.923,553.0893539320042
0.924,553.3678422213526
0.925,553.6482377262165
0.926,553.9126033043087
0.927,554.1423169707178
0.928,554.3187355617665
0.929,554.4238804872688
0.93,554.4411122212362
0.931,554.3557679091748
0.932,554.1557468045237
0.933,553.8320360332324
0.934,553.3791701682711
0.935,552.7956106379276
