,0
2.0,4.0358825580637364e-05
2.1,3.889680813982251e-05
2.2,3.641040381193109e-05
2.3,3.255937103666309e-05
2.4,2.871977791434989e-05
2.5,2.6554629300593183e-05
2.6,2.633932165929071e-05
2.7,2.6867009949451082e-05
2.8,2.681833778682301e-05
2.9,2.622624298991035e-05
3.0,2.6417787700967246e-05
3.1,2.863533938081978e-05
3.2,3.29236602607122e-05
3.3,3.834755156083223e-05
3.4000000000000004,4.410672067740416e-05
3.5,5.02481605577792e-05
3.6,5.737375128468014e-05
3.7,6.558284974611359e-05
3.8,7.350945495821896e-05
3.9000000000000004,7.864248401759817e-05
4.0,7.917468056887019e-05
4.1,7.558812021004656e-05
4.2,7.008805839884176e-05
4.300000000000001,6.482555397279346e-05
4.4,6.0868744065012126e-05
4.5,5.8217786195172795e-05
4.6,5.626345869514019e-05
4.7,5.4375273102708024e-05
4.800000000000001,5.2446921146894004e-05
4.9,5.098558692964832e-05
5.0,5.0543347888138524e-05
5.1,5.106706986739673e-05
5.2,5.1875356999209776e-05
5.300000000000001,5.2212323372195924e-05
5.4,5.166706379691828e-05
5.5,5.007773061439006e-05
5.6,4.737153907165351e-05
5.7,4.3673287350607474e-05
5.800000000000001,3.9330915567022294e-05
5.9,3.4682319418375604e-05
6.0,2.9932534871153754e-05
6.1000000000000005,2.5273780938086255e-05
6.2,2.0943641662057136e-05
6.3,1.7115656347036885e-05
6.4,1.3847664389537065e-05
6.5,1.1164334298406552e-05
6.6000000000000005,9.131991545511136e-06
6.7,7.876579913453947e-06
6.800000000000001,7.6121632357528855e-06
6.9,8.678065014006837e-06
7.0,1.1526149021414637e-05
7.1000000000000005,1.6648680271229434e-05
7.2,2.4455614632200176e-05
7.300000000000001,3.515125547820887e-05
7.4,4.877932453339505e-05
7.5,6.54553512668448e-05
7.6000000000000005,8.545874227006775e-05
7.7,0.0001090155209551028
7.800000000000001,0.00013599114744136513
7.9,0.0001654789159057163
8.0,0.00019513850707022636
8.100000000000001,0.0002211427181732089
8.2,0.00023988302492570037
8.3,0.0002502432102194037
8.4,0.00025374571077093553
8.5,0.00025253913662305405
8.600000000000001,0.0002475979621475246
8.7,0.00023827599111584657
8.8,0.0002228777361624937
8.9,0.00020012615143698032
9.0,0.00017102979837999808
9.100000000000001,0.00013928786311105044
9.2,0.00010930984057272786
9.3,8.384918194496638e-05
9.4,6.341152235872059e-05
9.5,4.7217882973810216e-05
9.600000000000001,3.4395766117789324e-05
9.7,2.45894407359685e-05
9.8,1.7854958179662172e-05
9.9,1.4123930411086156e-05
10.0,1.2799153608045843e-05
10.1,1.2882271719290756e-05
10.200000000000001,1.3447195319190914e-05
10.3,1.3989828111591826e-05
10.4,1.4403330905334473e-05
10.5,1.469308589557123e-05
10.6,1.476290487132217e-05
10.700000000000001,1.446733253757949e-05
10.8,1.3789856818193415e-05
10.9,1.2894434345141307e-05
11.0,1.2005638302721994e-05
11.1,1.126954929517039e-05
11.200000000000001,1.0719827255430867e-05
11.3,1.0346808817416726e-05
11.4,1.0198934028644431e-05
11.5,1.0445780659793876e-05
11.600000000000001,1.1346085458290912e-05
11.700000000000001,1.3102114300548231e-05
11.8,1.5662484371663516e-05
11.9,1.8619828304667045e-05
12.0,2.1343342424489732e-05
12.100000000000001,2.3275946849842177e-05
12.200000000000001,2.4117702893837426e-05
12.3,2.3765097112925205e-05
12.4,2.2160167361788946e-05
12.5,1.9248829377505343e-05
12.600000000000001,1.5126444335447405e-05
12.700000000000001,1.0272697895517494e-05
