,0
2.0,4.095830113174406e-05
2.1,4.6825279712166975e-05
2.2,5.1589648386489664e-05
2.3,5.265563274633067e-05
2.4,4.954510725995941e-05
2.5,4.405735294342465e-05
2.6,3.806949336853128e-05
2.7,3.22183019557171e-05
2.8,2.6236707886329687e-05
2.9,1.9687781522252126e-05
3.0,1.2571759864270845e-05
3.1,5.844576642752483e-06
3.2,1.227763574164796e-06
3.3,1.0678553110883859e-07
3.4000000000000004,2.923786106234109e-06
3.5,9.664234772768218e-06
3.6,2.032330835327938e-05
3.7,3.477133953113415e-05
3.8,5.2307001263976214e-05
3.9000000000000004,7.131161801128085e-05
4.0,8.984715393562097e-05
4.1,0.00010728519755730298
4.2,0.0001247958084074577
4.300000000000001,0.00014347612803900845
4.4,0.00016249856429513665
4.5,0.00017975704802802145
4.6,0.00019392835980714383
4.7,0.00020526546821659106
4.800000000000001,0.0002150493493738125
4.9,0.00022488632237206287
5.0,0.00023547173206666053
5.1,0.000244949200073278
5.2,0.0002490659345222914
5.300000000000001,0.00024424605452788367
5.4,0.0002306525338253799
5.5,0.00021166649689163223
5.6,0.00019105739276847476
5.7,0.00017113755552973167
5.800000000000001,0.00015233148043148278
5.9,0.00013343611141524857
6.0,0.00011284358474745547
6.1000000000000005,9.043493009995636e-05
6.2,6.82961563904893e-05
6.3,4.925275015264027e-05
6.4,3.491794931269166e-05
6.5,2.512281023626668e-05
6.6000000000000005,1.86315690521371e-05
6.7,1.4165300641396888e-05
6.800000000000001,1.0956380472896737e-05
6.9,8.615787880132051e-06
7.0,6.760508722867752e-06
7.1000000000000005,5.0248336435962476e-06
7.2,3.5196963896171968e-06
7.300000000000001,3.124070976997009e-06
7.4,5.0658905345396725e-06
7.5,1.0149541571549492e-05
7.6000000000000005,1.8545025973140833e-05
7.7,3.0332605007503284e-05
7.800000000000001,4.602162498334316e-05
7.9,6.617082164740785e-05
8.0,9.007543345819956e-05
8.100000000000001,0.00011481366933985859
8.2,0.00013633595095836215
8.3,0.000152187416922697
8.4,0.00016292884122944625
8.5,0.0001706985604907404
8.600000000000001,0.00017671340192760453
8.7,0.00017999320910065295
8.8,0.0001779716403935906
8.9,0.00016856948931858788
9.0,0.00015247369508412513
9.100000000000001,0.00013320086202797156
9.2,0.00011420938601992741
9.3,9.637158156101524e-05
9.4,7.866278442459165e-05
9.5,6.056739158130971e-05
9.600000000000001,4.304327385109047e-05
9.7,2.756534372244603e-05
9.8,1.5187330362156983e-05
9.9,6.5053813885413e-06
10.0,1.9689993332971647e-06
10.1,2.055881826839907e-06
10.200000000000001,7.045918334100914e-06
10.3,1.6470751753632133e-05
