,0
2.0,1.9490182142766464e-05
2.1,3.462639059442432e-05
2.2,4.812644242682489e-05
2.3,5.4096305763343354e-05
2.4,5.194415556133041e-05
2.5,4.6303356907065046e-05
2.6,4.119453088424048e-05
2.7,3.748340339216817e-05
2.8,3.429111013276646e-05
2.9,3.088213710718799e-05
3.0,2.719822565919741e-05
3.1,2.353689310576568e-05
3.2,2.031326505970674e-05
3.3,1.78213233289158e-05
3.4000000000000004,1.598128294441171e-05
3.5,1.4462574284277969e-05
3.6,1.3191857349454517e-05
3.7,1.2759502793846643e-05
3.8,1.4265823265207298e-05
3.9000000000000004,1.8665476143720302e-05
4.0,2.6048009913886944e-05
4.1,3.5464653807505177e-05
4.2,4.5533678580842165e-05
4.300000000000001,5.513819259052104e-05
4.4,6.35858983135223e-05
4.5,7.034575328166256e-05
4.6,7.47511301986761e-05
4.7,7.616876162492436e-05
4.800000000000001,7.471098023528515e-05
4.9,7.149899484151498e-05
5.0,6.78507368840028e-05
5.1,6.44543719398446e-05
5.2,6.154827623329008e-05
5.300000000000001,5.953166177069905e-05
5.4,5.892055518413335e-05
5.5,5.9731538214739515e-05
5.6,6.127542511887847e-05
5.7,6.27833388167545e-05
5.800000000000001,6.41966148860369e-05
5.9,6.629072023986022e-05
6.0,7.016757951333731e-05
6.1000000000000005,7.651438087508834e-05
6.2,8.486124474473675e-05
6.3,9.322003631295932e-05
6.4,9.868682575314862e-05
6.5,9.921237045844941e-05
6.6000000000000005,9.51550784066238e-05
6.7,8.861713084419803e-05
6.800000000000001,8.134007734220767e-05
6.9,7.371917313358463e-05
7.0,6.54499294715004e-05
7.1000000000000005,5.6376697704434216e-05
7.2,4.6702453020949104e-05
7.300000000000001,3.6930335380546625e-05
7.4,2.7757725209712376e-05
7.5,1.9769822111955907e-05
7.6000000000000005,1.3194453641619614e-05
7.7,8.01486827583989e-06
7.800000000000001,4.189864419841551e-06
7.9,1.682933960595185e-06
8.0,3.8401875643320167e-07
8.100000000000001,7.823771581613107e-08
8.2,4.553124669789335e-07
8.3,1.1601729288527095e-06
8.4,1.9002529186936365e-06
8.5,2.5292715679258485e-06
8.600000000000001,3.036143898454686e-06
8.7,3.475778108621551e-06
8.8,3.92782481516192e-06
8.9,4.522107354330114e-06
9.0,5.467042082283524e-06
9.100000000000001,6.978872605229344e-06
9.2,9.114219879712692e-06
9.3,1.1636293286519574e-05
9.4,1.4053092652433198e-05
9.5,1.5856740011776095e-05
9.600000000000001,1.6788067381466484e-05
9.7,1.687753504403876e-05
9.8,1.627683172135036e-05
9.9,1.5114227541058633e-05
10.0,1.3496494287343788e-05
10.1,1.160846170648865e-05
10.200000000000001,9.807884365364302e-06
10.3,8.604552494947957e-06
10.4,8.481255411332147e-06
10.5,9.69751549129936e-06
10.6,1.2287098299993484e-05
10.700000000000001,1.6269945123775666e-05
10.8,2.1832819598857024e-05
10.9,2.9163700647004213e-05
11.0,3.7941373282948214e-05
11.1,4.699816434245396e-05
11.200000000000001,5.466697262656653e-05
11.3,5.952306160117053e-05
11.4,6.085100148147019e-05
11.5,5.8741419213828e-05
11.600000000000001,5.391808597957016e-05
11.700000000000001,4.721729059139744e-05
11.8,3.9126150029340017e-05
11.9,3.0023640116653063e-05
12.0,2.0850705685816564e-05
12.100000000000001,1.3200588547684256e-05
12.200000000000001,8.603676900796075e-06
12.3,7.919894882236106e-06
12.4,1.1393836337664939e-05
12.5,1.893893026022573e-05
12.600000000000001,3.0132410784001116e-05
12.700000000000001,4.395937530074077e-05
12.8,5.877037355447855e-05
12.9,7.277062965897418e-05
13.0,8.470992492301298e-05
13.100000000000001,9.41373023957571e-05
13.200000000000001,0.00010107650985449199
13.3,0.00010550241730266448
13.4,0.0001070105353760201
13.5,0.00010489915510671778
13.600000000000001,9.86945624654848e-05
13.700000000000001,8.878216764749352e-05
13.8,7.655393666426682e-05
13.9,6.388579331240247e-05
14.0,5.243828867217142e-05
14.100000000000001,4.331504858838226e-05
14.200000000000001,3.71047569988035e-05
14.3,3.4020420433630926e-05
14.4,3.3945498702168456e-05
14.5,3.6425736169026906e-05
14.600000000000001,4.073616243551496e-05
14.700000000000001,4.605331265697956e-05
14.8,5.165171821495441e-05
14.9,5.7040917692595054e-05
15.0,6.198770327444228e-05
15.100000000000001,6.640664441247771e-05
15.200000000000001,7.019274370776674e-05
15.3,7.312151828763875e-05
15.4,7.487490010818115e-05
15.5,7.515832706178708e-05
15.600000000000001,7.383560521521296e-05
15.700000000000001,7.100014576949185e-05
15.8,6.694201421810469e-05
15.9,6.206811177324583e-05
16.0,5.685296510335103e-05
16.1,5.1792314234464636e-05
16.200000000000003,4.729031533715981e-05
16.3,4.3518089793483866e-05
16.4,4.035987513750188e-05
16.5,3.750567387200945e-05
16.6,3.464505601904654e-05
16.700000000000003,3.165588671973944e-05
16.8,2.8662292723621592e-05
16.9,2.586570864430247e-05
17.0,2.324138166251124e-05
17.1,2.0441831839057894e-05
17.200000000000003,1.7135036808478704e-05
17.3,1.3497609565110401e-05
17.4,1.0288670667287806e-05
17.5,8.327810194233685e-06
17.6,7.880504308346225e-06
17.700000000000003,8.561179791698427e-06
17.8,9.802118437046014e-06
17.9,1.1345672408988197e-05
18.0,1.3249399159389401e-05
18.1,1.5502804253802887e-05
18.2,1.7779411412729294e-05
18.3,1.9592353957675278e-05
18.400000000000002,2.0617816895385452e-05
18.5,2.093344940675494e-05
18.6,2.1089883527701854e-05
18.7,2.1882663691679497e-05
18.8,2.3877881671992107e-05
18.900000000000002,2.7050093992080724e-05
19.0,3.081808083451758e-05
19.1,3.449395427933151e-05
19.2,3.777088445663456e-05
19.3,4.077178589270669e-05
19.400000000000002,4.3751884014547025e-05
19.5,4.6871368222690246e-05
19.6,5.009364362775304e-05
19.7,5.303433186390746e-05
19.8,5.490539083178751e-05
19.900000000000002,5.491717358408133e-05
20.0,5.296274930847807e-05
