-6 	-6 	100 	1 	1 	1 	1 	-45 	0.416589 	1.116657 	2 	1 	0.732084 	
-5 	-5 	100 	1 	1 	1 	1 	-45 	0.550058 	0.833373 	2 	1 	0.659379 	
-4 	-4 	100 	1 	0 	0 	0 	45 	0.666768 	1.383399 	1 	1 	0.485341 	
-3 	-3 	100 	1 	0 	0 	1 	-45 	0.416701 	1.200105 	2 	1 	0.541285 	
-2 	-2 	100 	1 	1 	1 	0 	45 	0.516697 	1.366818 	1 	1 	0.494075 	
-1 	-1 	100 	1 	1 	1 	1 	-45 	0.583443 	1.500130 	2 	1 	0.633016 	
1 	1 	100 	1 	0 	0 	1 	-45 	0.483419 	0.983362 	2 	1 	0.477391 	
2 	2 	100 	1 	0 	0 	1 	-45 	0.750049 	0.883440 	1 	0 	0.652289 	
3 	3 	100 	1 	1 	1 	1 	-45 	0.400031 	1.200193 	2 	1 	0.939929 	
4 	4 	100 	1 	1 	1 	1 	-45 	0.583275 	1.500097 	2 	1 	0.559631 	
5 	5 	100 	1 	0 	0 	0 	45 	0.466671 	1.650083 	2 	0 	0.666854 	
6 	6 	100 	1 	1 	1 	0 	45 	0.783388 	0.616675 	2 	0 	0.836394 	
7 	7 	100 	1 	1 	1 	0 	45 	0.683503 	0.650120 	1 	1 	0.892505 	
8 	8 	100 	1 	1 	1 	1 	-45 	0.599924 	0.566666 	2 	1 	0.848733 	
9 	9 	100 	1 	0 	0 	1 	-45 	0.583353 	1.566816 	2 	1 	0.546740 	
10 	10 	100 	1 	0 	0 	1 	-45 	0.416894 	1.200002 	2 	1 	0.501097 	
11 	11 	100 	1 	1 	1 	0 	45 	0.666716 	0.616655 	1 	1 	0.628472 	
12 	12 	100 	1 	1 	1 	1 	-45 	0.416713 	1.116775 	2 	1 	0.665761 	
13 	13 	100 	1 	1 	1 	0 	45 	0.416737 	0.866727 	1 	1 	0.794142 	
14 	14 	100 	1 	1 	1 	0 	45 	0.599999 	1.183322 	1 	1 	0.577070 	
15 	15 	100 	1 	0 	0 	0 	45 	0.433358 	0.850086 	1 	1 	0.756837 	
16 	16 	100 	1 	1 	1 	1 	-45 	0.716725 	1.083409 	2 	1 	0.806645 	
17 	17 	100 	1 	0 	0 	0 	45 	0.716673 	0.966743 	1 	1 	0.425953 	
18 	18 	100 	1 	1 	1 	0 	45 	0.683441 	1.266698 	1 	1 	0.607204 	
19 	19 	100 	1 	1 	1 	0 	45 	0.450102 	0.950115 	1 	1 	0.684692 	
20 	20 	100 	1 	0 	0 	0 	45 	0.650034 	1.000117 	1 	1 	0.473926 	
21 	21 	100 	1 	0 	0 	0 	45 	0.600107 	1.483452 	1 	1 	0.530378 	
22 	22 	100 	1 	0 	0 	1 	-45 	0.783379 	1.166739 	2 	1 	0.594979 	
23 	23 	100 	1 	0 	0 	1 	-45 	0.650114 	0.616756 	0 	0 	1 	
24 	24 	100 	1 	1 	1 	1 	-45 	0.716696 	0.500045 	2 	1 	0.537461 	
25 	25 	100 	1 	0 	0 	1 	-45 	0.583336 	1.583370 	2 	1 	0.596203 	
26 	26 	100 	1 	0 	0 	1 	-45 	0.566706 	0.983418 	2 	1 	0.494024 	
27 	27 	100 	1 	0 	0 	1 	-45 	0.716739 	1.600109 	2 	1 	0.560069 	
28 	28 	100 	1 	1 	1 	1 	-45 	0.433366 	1.433382 	2 	1 	0.946974 	
29 	29 	100 	1 	1 	1 	1 	-45 	0.450023 	1.150070 	2 	1 	0.691018 	
30 	30 	100 	1 	1 	1 	0 	45 	0.466746 	1.466858 	1 	1 	0.637581 	
31 	31 	100 	1 	0 	0 	1 	-45 	0.550050 	0.699978 	2 	1 	0.453620 	
32 	32 	100 	1 	1 	1 	1 	-45 	0.733405 	1.100072 	2 	1 	0.725783 	
33 	33 	100 	1 	1 	1 	1 	-45 	0.716736 	0.883408 	2 	1 	0.555012 	
34 	34 	100 	1 	1 	1 	1 	-45 	0.416777 	1.166782 	2 	1 	0.500254 	
35 	35 	100 	1 	1 	1 	0 	45 	0.550118 	1.050120 	1 	1 	0.574762 	
36 	36 	100 	1 	0 	0 	1 	-45 	0.600116 	1.600035 	2 	1 	0.497692 	
37 	37 	100 	1 	1 	1 	0 	45 	0.566747 	0.766693 	1 	1 	0.494256 	
