,subject,condition,validity,cue side,cue-target interval,reaction time,response
129,03,60,invalid,left,0.866566,450.433,incorrect
130,03,60,valid,right,1.233338,449.47900000000004,correct
131,03,60,valid,right,0.949855,438.32,correct
132,03,60,invalid,right,1.26677,373.26300000000003,correct
133,03,60,valid,right,1.066944,378.224,correct
134,03,60,invalid,left,0.783398,411.7,correct
135,03,60,invalid,left,1.316691,473.295,correct
136,03,60,invalid,right,0.833113,578.437,correct
137,03,60,valid,left,0.766571,356.269,correct
138,03,60,valid,right,0.533345,394.899,correct
139,03,60,valid,right,1.133187,398.296,correct
140,03,60,valid,left,1.133612,485.664,correct
141,03,60,valid,left,0.633366,444.651,correct
142,03,60,invalid,left,1.63315,448.199,correct
143,03,60,valid,right,0.633134,587.7719999999999,correct
144,03,60,valid,right,1.166805,497.329,correct
145,03,60,invalid,left,1.516732,431.612,correct
146,03,60,invalid,left,0.983254,430.211,correct
147,03,60,invalid,left,1.650175,418.387,correct
148,03,60,invalid,left,1.683301,473.056,incorrect
149,03,60,invalid,right,1.600257,632.379,correct
150,03,60,valid,left,1.116532,410.412,correct
151,03,60,invalid,left,0.533238,479.259,correct
152,03,60,invalid,left,0.766868,427.318,correct
153,03,60,valid,left,1.633428,457.57599999999996,correct
154,03,60,valid,left,1.550026,446.411,correct
155,03,60,valid,left,0.800193,458.565,correct
156,03,60,valid,left,1.533292,361.213,correct
157,03,60,valid,left,0.549735,536.251,correct
158,03,60,invalid,right,1.083258,414.311,incorrect
159,03,60,invalid,left,1.016752,550.921,correct
160,03,60,invalid,left,0.999968,446.22499999999997,correct
161,03,60,valid,left,1.433326,547.868,correct
162,03,60,invalid,left,0.599964,437.195,incorrect
163,03,60,valid,right,1.050012,474.971,correct
164,03,60,invalid,right,1.53328,452.731,correct
165,03,60,valid,right,0.616646,580.8330000000001,correct
166,03,60,valid,right,0.933499,404.42499999999995,correct
167,03,60,invalid,right,1.383386,610.228,correct
168,03,60,valid,left,0.499964,539.1179999999999,correct
169,03,60,valid,right,1.683247,392.432,correct
170,03,60,invalid,right,1.683335,434.44100000000003,correct
171,03,60,valid,right,0.683341,504.45799999999997,correct
172,03,60,valid,left,0.833296,433.45,correct
173,03,60,invalid,right,0.69979,400.774,correct
174,03,60,valid,left,1.11689,472.748,correct
175,03,60,invalid,left,1.566706,366.653,incorrect
176,03,60,invalid,right,0.733267,679.5550000000001,correct
177,03,60,valid,right,0.583189,436.376,correct
178,03,60,valid,left,1.083186,526.799,correct
179,03,60,invalid,left,1.533213,411.191,correct
180,03,60,invalid,right,0.816639,443.496,correct
181,03,60,valid,left,1.31664,362.417,correct
182,03,60,valid,left,1.300014,477.833,correct
183,03,60,invalid,left,1.333288,448.659,correct
184,03,60,valid,right,0.59999,430.568,correct
185,03,60,valid,right,1.316736,504.602,correct
186,03,60,valid,right,0.699969,543.353,correct
187,03,60,invalid,left,1.066897,565.671,correct
188,03,60,invalid,right,1.683628,403.83299999999997,correct
189,03,60,valid,right,0.499977,467.736,correct
190,03,60,valid,left,0.516626,417.315,correct
191,03,60,invalid,left,1.049994,363.478,incorrect
192,03,60,valid,right,1.349977,451.764,correct
193,03,60,invalid,right,0.916601,604.3199999999999,correct
194,03,60,valid,left,0.666677,431.634,correct
195,03,60,invalid,left,1.066603,497.556,correct
196,03,60,valid,left,1.433433,395.387,correct
197,03,60,invalid,left,1.483241,479.82099999999997,correct
198,03,60,valid,left,1.183276,539.9000000000001,correct
199,03,60,invalid,right,1.433238,453.457,correct
200,03,60,invalid,right,1.583303,477.222,correct
201,03,60,invalid,left,0.933252,435.651,correct
202,03,60,valid,right,1.099953,442.03700000000003,correct
203,03,60,invalid,right,0.616614,505.027,correct
204,03,60,valid,left,1.350162,482.598,correct
205,03,60,valid,left,1.033606,518.203,correct
206,03,60,valid,right,1.633361,433.691,correct
207,03,60,valid,right,1.033345,418.33500000000004,correct
208,03,60,valid,left,1.583391,476.512,correct
209,03,60,invalid,right,1.16679,575.159,correct
210,03,60,valid,left,1.199945,378.78299999999996,correct
211,03,60,valid,left,1.499861,374.26,correct
212,03,60,valid,left,1.416572,492.068,correct
213,03,60,valid,left,0.549939,589.7750000000001,correct
214,03,60,invalid,left,1.133214,625.9169999999999,correct
215,03,60,valid,left,1.666863,407.16999999999996,correct
216,03,60,invalid,right,1.233291,411.401,correct
217,03,60,valid,right,1.483352,385.986,correct
218,03,60,invalid,left,1.583422,460.17400000000004,correct
219,03,60,invalid,right,1.083274,449.967,correct
220,03,60,invalid,left,1.400011,487.217,correct
221,03,60,invalid,left,1.216623,558.4590000000001,correct
222,03,60,valid,right,1.633583,467.52500000000003,correct
223,03,60,valid,left,1.566702,456.2,correct
224,03,60,valid,right,1.283334,487.82399999999996,correct
225,03,60,valid,right,0.783262,410.704,correct
226,03,60,valid,right,1.233287,448.248,correct
227,03,60,valid,left,1.183237,452.518,correct
228,03,60,valid,left,0.933219,435.976,correct
229,03,60,invalid,left,1.633303,492.751,correct
230,03,60,valid,right,1.149863,434.53799999999995,correct
231,03,60,invalid,left,1.149982,661.385,correct
232,03,60,invalid,left,1.250068,393.805,correct
233,03,60,valid,right,0.899912,420.62,correct
234,03,60,valid,left,0.683236,329.652,correct
235,03,60,valid,right,1.583594,441.539,correct
236,03,60,invalid,right,0.516623,411.53499999999997,correct
237,03,60,invalid,left,0.966605,581.5630000000001,correct
238,03,80,valid,left,1.06657,493.30899999999997,correct
239,03,80,valid,left,1.116629,554.118,correct
240,03,80,valid,left,1.616551,458.10699999999997,correct
241,03,80,valid,right,0.800061,423.774,correct
242,03,80,valid,left,0.966925,453.806,correct
243,03,80,valid,right,0.649916,421.829,correct
244,03,80,valid,left,1.449886,389.25100000000003,correct
245,03,80,valid,right,0.599951,466.885,correct
246,03,80,invalid,right,1.033121,638.4929999999999,correct
247,03,80,valid,left,0.949962,505.351,correct
248,03,80,valid,right,1.41685,426.39300000000003,correct
249,03,80,valid,left,1.266671,434.884,correct
250,03,80,valid,right,1.016534,399.805,correct
251,03,80,valid,right,1.466705,575.118,correct
252,03,80,valid,left,1.43336,426.742,correct
253,03,80,valid,left,1.066643,439.97999999999996,correct
254,03,80,valid,right,0.716727,381.872,correct
255,03,80,valid,right,1.1169,384.474,correct
256,03,80,valid,left,1.433481,497.723,correct
257,03,80,invalid,right,1.233407,494.99100000000004,correct
258,03,80,valid,right,1.449981,468.73900000000003,correct
259,03,80,valid,left,0.716676,506.68800000000005,correct
260,03,80,valid,left,1.233325,464.065,correct
261,03,80,valid,left,0.699893,415.09200000000004,correct
262,03,80,invalid,right,0.633237,450.803,correct
263,03,80,valid,left,1.416556,398.49800000000005,correct
264,03,80,valid,right,1.149934,425.448,correct
265,03,80,invalid,left,0.949951,444.42199999999997,incorrect
266,03,80,invalid,right,1.500303,544.2479999999999,correct
267,03,80,valid,right,1.333382,453.971,correct
268,03,80,valid,left,1.383382,479.412,correct
269,03,80,valid,left,1.166728,412.822,correct
270,03,80,valid,left,1.583285,414.911,correct
271,03,80,valid,left,1.566663,438.807,correct
272,03,80,invalid,right,1.333227,450.26300000000003,correct
273,03,80,invalid,right,1.666607,408.178,correct
274,03,80,valid,left,1.250183,406.136,correct
275,03,80,valid,left,1.48363,513.556,correct
276,03,80,valid,right,0.583224,485.701,correct
277,03,80,valid,left,1.183307,417.736,correct
278,03,80,invalid,left,0.683401,479.591,correct
279,03,80,valid,left,1.200001,471.68399999999997,correct
280,03,80,invalid,right,0.966634,553.1120000000001,correct
281,03,80,valid,left,0.899968,460.825,correct
282,03,80,invalid,left,0.516423,531.1080000000001,correct
283,03,80,invalid,left,1.44987,455.56,correct
284,03,80,valid,left,0.616519,454.912,correct
285,03,80,valid,right,0.533158,411.404,correct
286,03,80,valid,left,0.683254,326.646,incorrect
287,03,80,valid,left,1.133204,435.539,correct
288,03,80,valid,right,0.916879,409.51,correct
289,03,80,valid,right,0.699866,386.912,correct
290,03,80,valid,right,1.466621,374.952,correct
291,03,80,valid,left,0.833501,499.622,correct
292,03,80,valid,right,1.133333,372.83500000000004,correct
293,03,80,valid,left,1.2002,506.333,correct
294,03,80,valid,left,0.53345,457.472,correct
295,03,80,valid,left,0.850029,456.4,correct
296,03,80,valid,right,1.083545,422.939,correct
297,03,80,valid,left,0.783397,586.006,correct
298,03,80,invalid,right,1.099945,426.035,correct
299,03,80,valid,right,0.766682,381.13599999999997,correct
300,03,80,invalid,right,1.39988,422.448,incorrect
301,03,80,valid,left,0.633512,486.202,correct
302,03,80,valid,left,1.649918,435.653,correct
303,03,80,valid,right,1.549984,470.11199999999997,correct
304,03,80,invalid,right,1.433281,460.885,correct
305,03,80,invalid,left,0.583509,495.453,correct
306,03,80,invalid,left,0.849962,413.142,correct
307,03,80,valid,right,1.116888,386.507,correct
308,03,80,valid,right,1.566901,461.201,correct
309,03,80,invalid,right,1.199913,448.826,incorrect
310,03,80,valid,right,0.516555,565.469,correct
311,03,80,valid,right,1.166714,521.927,incorrect
312,03,80,invalid,left,1.250015,603.174,correct
313,03,80,valid,left,1.29989,560.392,correct
314,03,80,valid,right,1.633403,369.82300000000004,correct
315,03,80,valid,right,1.583137,455.87100000000004,correct
316,03,80,valid,left,0.63342,521.263,correct
317,03,80,invalid,right,0.599967,509.49699999999996,correct
318,03,80,invalid,right,1.566783,463.229,correct
319,03,80,valid,right,0.899928,394.93699999999995,correct
320,03,80,invalid,left,1.383269,404.411,correct
321,03,80,valid,right,1.166675,470.274,correct
322,03,80,valid,right,1.333396,465.895,correct
323,03,80,valid,right,1.366512,420.782,correct
324,03,80,valid,left,0.799939,389.834,correct
325,03,80,valid,right,1.083291,448.03700000000003,correct
326,03,80,valid,right,1.199945,427.878,correct
327,03,80,valid,right,1.250199,499.421,correct
328,03,80,invalid,left,1.183506,545.8969999999999,correct
329,03,80,valid,left,1.466695,390.31,correct
330,03,80,valid,left,1.099996,420.375,correct
331,03,80,invalid,left,0.649892,497.371,correct
332,03,80,valid,left,0.766574,565.683,correct
333,03,80,valid,right,1.550039,372.04900000000004,correct
334,03,80,valid,right,1.300034,455.393,correct
335,03,80,valid,right,0.783393,327.48699999999997,correct
336,03,80,valid,right,0.81652,434.302,correct
337,03,80,valid,right,0.849914,385.438,correct
338,03,80,valid,right,1.049864,369.193,incorrect
339,03,80,valid,left,0.600008,404.363,correct
340,03,80,valid,right,0.783379,627.148,correct
341,03,80,valid,right,1.150007,407.285,correct
342,03,80,valid,right,0.88319,451.814,correct
343,03,80,valid,right,0.699987,431.809,correct
344,03,80,invalid,left,1.149889,604.183,correct
345,03,80,valid,left,0.783212,737.265,correct
346,03,80,valid,right,0.833308,417.06,correct
347,03,80,valid,right,1.566649,435.053,correct
348,03,80,valid,left,1.016825,396.461,correct
349,03,80,valid,right,1.099926,445.675,correct
350,03,80,invalid,left,0.750104,465.892,correct
351,03,80,valid,left,1.1336,458.972,correct
352,03,80,valid,right,1.016426,429.86400000000003,correct
353,03,80,valid,left,0.499879,397.938,correct
354,03,80,valid,right,1.433338,433.612,correct
355,03,80,valid,right,1.216785,419.417,correct
356,03,80,valid,left,1.316761,449.414,correct
357,03,80,valid,left,0.733386,314.45,correct
358,03,80,valid,right,0.733326,441.699,correct
359,03,80,invalid,left,0.549894,524.141,correct
360,03,80,valid,left,1.333341,438.308,correct
361,03,80,valid,left,1.216668,445.88,correct
362,03,80,valid,right,0.683267,476.12,correct
363,03,80,valid,left,1.549991,412.59000000000003,correct
364,03,80,invalid,right,1.466733,437.88100000000003,correct
365,03,80,valid,right,1.033249,420.67,correct
366,03,80,invalid,right,0.499907,482.89500000000004,correct
367,03,80,valid,left,0.916631,498.49399999999997,correct
368,03,80,valid,left,0.750044,477.419,correct
369,03,80,valid,right,1.349945,448.88800000000003,correct
370,03,80,invalid,right,1.633312,373.743,correct
371,03,80,valid,right,0.516382,479.16900000000004,correct
372,03,80,valid,left,1.666671,397.344,correct
373,03,80,valid,left,1.633192,425.26000000000005,correct
374,03,80,valid,left,0.966487,378.406,correct
375,03,80,valid,left,0.999885,318.509,correct
376,03,80,valid,left,1.233449,328.93699999999995,correct
377,03,80,valid,right,0.983261,439.61699999999996,correct
378,03,80,valid,right,0.500185,431.84299999999996,correct
379,03,80,invalid,left,1.483312,538.344,correct
380,03,80,valid,left,1.0831,517.025,correct
381,03,80,valid,left,1.149866,453.002,correct
382,03,80,valid,right,1.249938,448.60499999999996,correct
383,03,80,valid,right,1.183217,490.346,correct
384,03,80,valid,right,1.233186,447.169,correct
385,03,80,valid,right,0.683573,414.264,correct
386,03,80,valid,right,1.349964,463.03,correct
387,03,80,valid,left,0.583316,507.935,correct
388,03,80,valid,left,1.36662,542.179,correct
389,03,80,valid,right,0.583531,430.276,correct
390,03,80,valid,right,1.533239,459.366,correct
391,03,80,valid,right,1.483471,465.236,correct
392,03,80,invalid,right,0.833062,487.479,correct
393,03,80,valid,right,0.549964,445.886,correct
394,03,80,valid,left,1.63314,338.159,correct
395,03,80,valid,right,1.450022,459.13100000000003,correct
396,03,80,invalid,right,0.866754,317.835,incorrect
397,03,80,valid,left,1.68365,434.971,correct
398,03,80,valid,left,0.933136,455.914,correct
399,03,80,valid,right,0.71666,434.2,correct
400,03,80,valid,left,1.016625,406.95799999999997,correct
401,03,80,invalid,right,0.999821,426.193,correct
402,03,80,valid,left,0.883409,379.867,correct
403,03,80,valid,right,0.916595,425.174,correct
404,03,80,valid,left,0.649949,419.005,correct
405,03,80,invalid,left,1.650193,525.689,correct
406,03,80,valid,right,1.483418,598.7280000000001,correct
407,03,80,valid,left,1.000152,455.637,correct
408,03,80,invalid,left,1.083428,509.09099999999995,correct
409,03,80,invalid,left,0.816591,532.914,correct
410,03,80,valid,left,0.566531,442.298,correct
411,03,80,invalid,left,0.883535,438.41,correct
412,03,80,valid,right,1.033203,437.831,correct
413,03,80,valid,left,0.516668,521.778,incorrect
414,03,80,invalid,right,0.733365,599.737,correct
415,03,80,valid,left,1.116742,388.86199999999997,correct
416,03,100,valid,left,0.683388,394.51599999999996,correct
417,03,100,valid,right,0.86661,379.35400000000004,correct
418,03,100,valid,left,1.533202,431.519,correct
419,03,100,valid,left,0.599822,471.76,correct
420,03,100,valid,left,0.749928,397.45399999999995,correct
421,03,100,valid,right,0.816602,476.196,correct
422,03,100,valid,right,0.999787,395.818,correct
423,03,100,valid,left,0.533262,379.38899999999995,correct
424,03,100,valid,right,0.933223,393.416,correct
425,03,100,valid,left,0.716466,386.824,correct
426,03,100,valid,right,1.066648,420.294,correct
427,03,100,valid,right,0.533464,457.293,correct
428,03,100,valid,left,1.566593,378.894,correct
429,03,100,valid,right,1.18336,383.899,correct
430,03,100,valid,left,1.383615,376.11,correct
431,03,100,valid,left,0.999936,359.065,correct
432,03,100,valid,left,1.650089,409.04,correct
433,03,100,valid,right,0.733228,414.587,correct
434,03,100,valid,right,1.05012,424.00300000000004,correct
435,03,100,valid,left,0.949989,366.954,correct
436,03,100,valid,left,1.416906,341.714,correct
437,03,100,valid,right,0.633201,427.831,correct
438,03,100,valid,left,0.833164,363.115,correct
439,03,100,valid,right,1.666937,372.212,correct
440,03,100,valid,left,1.050147,380.99100000000004,correct
441,03,100,valid,left,1.533318,351.954,correct
442,03,100,valid,right,1.516612,372.862,correct
443,03,100,valid,left,0.850012,380.724,correct
444,03,100,valid,left,1.199947,394.947,correct
445,03,100,valid,left,0.649724,430.911,correct
446,03,100,valid,left,1.633353,368.319,correct
447,03,100,valid,left,0.900197,437.14300000000003,correct
448,03,100,valid,right,1.600033,364.56899999999996,correct
449,03,100,valid,right,1.633531,372.351,correct
450,03,100,valid,right,1.333403,305.359,correct
451,03,100,valid,right,0.733406,376.277,correct
452,03,100,valid,left,0.616646,452.04299999999995,correct
